anon_ticket_number,issue_datetime,state,anon_plate_id,division,location,violation_desc,fine,issuing_agency,lat,lon,gps,zip_code
8980659,2017-11-11 15:35:00,NY,4729444,,1 S FRONT ST,METER EXPIRED CC,36,PPA,39.949245,-75.142252,True,19106.0
8980660,2017-11-11 15:36:00,NJ,4729445,,1 S FRONT ST,METER EXPIRED CC,36,PPA,39.949412,-75.142132,True,19106.0
8980661,2017-11-11 15:51:00,PA,4729446,,200 WALNUT ST,METER EXPIRED CC,36,PPA,39.947192,-75.145717,True,19106.0
8980662,2017-11-11 11:41:00,PA,4729447,,3700 WALNUT ST,METER EXPIRED CC,36,PPA,39.9535,-75.197408,True,19104.0
8980663,2017-11-11 12:10:00,NJ,4729448,,3700 SPRUCE ST,METER EXPIRED CC,36,PPA,39.951052,-75.197893,True,19104.0
8980664,2017-11-11 12:13:00,NJ,4729449,,3600 SPRUCE ST,HP RESERVED SPACE,301,PPA,39.951017,-75.196998,True,19104.0
8980665,2017-09-23 10:30:00,PA,2397329,,800 RISING S,FIRE HYDRANT,76,POLICE,,,,
8980666,2017-11-11 12:23:00,PA,1864494,,100 S 36TH ST,METER EXPIRED CC,36,PPA,39.954305,-75.194505,True,19104.0
8980667,2017-11-11 12:26:00,PA,4729450,,100 S 36TH ST,STOP PROHIBITED CC,76,PPA,39.954632,-75.19457,True,19104.0
8980668,2017-11-11 10:25:00,PA,4729451,,3109 KENSINGTON AVE,METER EXPIRED,26,PPA,39.995103,-75.115588,True,19134.0
8980669,2017-11-29 12:08:00,PA,4729452,,1300 WYOMING AVE,OVER TIME LIMIT,26,PPA,40.024407,-75.146153,True,
